Personal Pronouns,Demonstrative Pronouns,Quidam,Reflexive Pronouns,Iste,Alius,Ipse,Idem,Priusquam,Antequam,Quominus,Dum,Quin,Ut,Conditionals,Prepositions,Interrogative Sentences,Superlatives,Atque + consonant,Relative Clauses,Mean Length Relative Clauses,Gerunds and Gerundives,Cum,Conjunctions,Vocatives,Mean Sentence Length,Characters,Words,Corpus Name,Sentences,Type
0.00316,0.00533,0.00034,0.00093,0.0003,0.00055,0.00057,0.0004,0.00008,0,0,0.00015,0.00032,0.00135,0.0011,0.00304,0.00051,0.0012,0.00004,0.55556,34.63095,0.00055,0.00038,0.01507,0.00004,171.87681,"47,438","7,885",Apuleius Florida,276,Prose
0.00584,0.00575,0.00026,0.00047,0.00103,0.00043,0.0009,0.00017,0.00004,0,0,0.00047,0.00009,0.00142,0.00047,0.00206,0.00176,0.00051,0.00017,0.39695,35.75294,0.00009,0.00009,0.01716,0.00004,135.50581,"23,307","3,998",Apuleius Metamorphoses Part 1,172,Prose
0.00208,0.00376,0.00046,0.00103,0.00062,0.00043,0.00095,0.00016,0.00005,0.00003,0,0.00014,0.00003,0.00084,0.00046,0.00211,0.00019,0.00146,0.00024,0.55484,41.10145,0.00016,0.00027,0.0143,0,226.92025,"36,988","5,768",Apuleius Metamorphoses Part 10,163,Prose
0.00336,0.0022,0.00028,0.00031,0.0006,0.00038,0.0011,0.00019,0,0,0,0.00013,0.00006,0.00041,0.00025,0.00208,0.00022,0.00069,0.00006,0.51079,48.98246,0.00031,0.00016,0.01305,0,214.87162,"31,801","4,920",Apuleius Metamorphoses Part 11,148,Prose
0.00409,0.00496,0.00063,0.00021,0.0007,0.00049,0.00098,0.00007,0.00003,0.00003,0,0.00042,0.00017,0.00105,0.00035,0.00251,0.00073,0.00059,0.00007,0.39623,44.1,0.00021,0.00031,0.01634,0.00007,159.98324,"28,637","4,800",Apuleius Metamorphoses Part 2,179,Prose
0.00504,0.00357,0.00071,0.00036,0.00095,0.00024,0.00111,0,0.00008,0,0,0.00024,0.00004,0.00079,0.00036,0.00274,0.00032,0.00087,0.0002,0.58261,41.97959,0.00012,0.00044,0.015,0,204.86179,"25,198","4,109",Apuleius Metamorphoses Part 3,123,Prose
0.00281,0.00318,0.00059,0.00093,0.00052,0.00025,0.00086,0,0,0,0,0.00019,0.00003,0.00068,0.00025,0.00256,0.00059,0.00083,0.00019,0.48387,47.92941,0.00031,0.00025,0.01507,0.00003,226.45455,"32,383","5,126",Apuleius Metamorphoses Part 4,143,Prose
0.00421,0.00499,0.00025,0.00111,0.00089,0.00043,0.00093,0.00004,0.00004,0,0,0.00025,0,0.001,0.00075,0.00243,0.00075,0.00064,0.00032,0.39041,40.46575,0.00014,0.00029,0.0157,0,167.86826,"28,034","4,595",Apuleius Metamorphoses Part 5,167,Prose
0.00371,0.00316,0.00025,0.00065,0.00113,0.0004,0.00094,0,0,0.00004,0,0.00033,0.00007,0.00051,0.00044,0.00229,0.0012,0.00055,0.00029,0.42537,41.90278,0.00022,0.00033,0.01686,0.00004,163.77976,"27,515","4,517",Apuleius Metamorphoses Part 6,168,Prose
0.00445,0.00388,0.00061,0.00061,0.00069,0.00038,0.00104,0.00027,0,0,0,0.00019,0.00015,0.00081,0.00046,0.00215,0.00065,0.00123,0.00038,0.41525,40.04762,0.00035,0.00031,0.01697,0,192.94074,"26,047","4,107",Apuleius Metamorphoses Part 7,135,Prose
0.00256,0.0038,0.00078,0.00094,0.00045,0.00062,0.00065,0.0001,0.00003,0,0,0.00019,0.00013,0.00055,0.00026,0.00273,0.00045,0.00091,0.0001,0.40385,43.62222,0.00023,0.00013,0.01525,0.00003,181.23529,"30,810","4,837",Apuleius Metamorphoses Part 8,170,Prose
0.00247,0.00482,0.00074,0.00105,0.00048,0.00031,0.00084,0.00012,0,0,0,0.00024,0.00007,0.00108,0.00031,0.00288,0.00038,0.00096,0.00022,0.42347,43.97414,0.0001,0.00019,0.01505,0.00002,196.87736,"41,738","6,533",Apuleius Metamorphoses Part 9,212,Prose
0.0063,0.00668,0.00024,0.00047,0.00058,0.00049,0.00096,0.0003,0,0.00002,0,0.00015,0,0.00236,0.00238,0.00383,0.00107,0.00096,0.00032,0.62766,33.14577,0.00077,0.00084,0.01605,0,139.7485,"46,676","8,182",Augustine Epistulae Selections Part 1 1-10,334,Prose
0.00671,0.00569,0.00029,0.00044,0.00049,0.00058,0.00112,0.00049,0,0.00005,0.00005,0.00034,0,0.00248,0.00287,0.00365,0.00126,0.00088,0.00029,0.60317,28.71795,0.00068,0.00073,0.01493,0.0001,135.27632,"20,562","3,668",Augustine Epistulae Selections Part 2 11-20,152,Prose
0.00591,0.00704,0.00026,0.00055,0.00032,0.00076,0.00103,0.00026,0,0.00011,0,0.00016,0,0.00245,0.002,0.0044,0.00047,0.00161,0.00018,0.78846,34.02922,0.00055,0.00061,0.01514,0.00003,167.80973,"37,925","6,603",Augustine Epistulae Selections Part 3 21-30,226,Prose
0.00569,0.00682,0.00011,0.00059,0.00074,0.00043,0.00102,0.0003,0.00004,0.00004,0,0.00011,0,0.00235,0.00235,0.00409,0.0008,0.00133,0.00039,0.59636,29.57235,0.0007,0.00048,0.01523,0,147.96141,"46,016","8,029",Augustine Epistulae Selections Part 4 31-40,311,Prose
0.00488,0.00747,0.00018,0.00103,0.00038,0.00071,0.00139,0.00029,0,0.00004,0,0.00009,0,0.00255,0.0021,0.00496,0.00078,0.00065,0.00022,0.67188,29.75714,0.00083,0.00058,0.01639,0,152.74033,"55,292","9,906",Augustine Epistulae Selections Part 5 41-50,362,Prose
0.00706,0.0067,0.0002,0.00089,0.00069,0.00052,0.00133,0.0003,0.00002,0.00002,0,0.00015,0,0.00259,0.00252,0.00461,0.00089,0.00091,0.00026,0.65017,29.04396,0.00126,0.00044,0.01759,0.00002,153.82621,"53,993","9,831",Augustine Epistulae Selections Part 6 51-62,351,Prose
0.00264,0.0035,0,0.00007,0,0.00026,0.0002,0.00046,0.00007,0,0,0,0,0.0004,0.00013,0.00562,0,0.00013,0,0.57143,45.82609,0.00033,0.00059,0.01599,0,135.14286,"15,136","2,612",Caesar Augustus Res Gestae Divi Augusti,112,Prose
0.00012,0.00573,0.00003,0.0024,0,0.00034,0.00063,0.00052,0.00003,0,0.00003,0.00012,0.00006,0.00152,0.00054,0.00498,0.00009,0.00052,0.00007,0.46272,41.67409,0.00044,0.00041,0.01357,0,128.42155,"67,935","10,895",Caesar De Bello Civili Part 1,529,Prose
0.00099,0.00541,0.00018,0.00217,0,0.00038,0.00054,0.00056,0.00005,0,0.00005,0.00005,0.00018,0.00161,0.00036,0.0052,0.00064,0.00051,0.0001,0.48432,39.04082,0.00036,0.00038,0.01329,0,126.05466,"39,203","6,387",Caesar De Bello Civili Part 2,311,Prose
0.00035,0.00628,0.00024,0.0017,0,0.00029,0.0005,0.00064,0.00004,0.00001,0.00001,0.00003,0.00006,0.00166,0.00043,0.00485,0.00003,0.00045,0.00004,0.51351,40.51068,0.00062,0.00079,0.01428,0,148.80538,"94,045","15,046",Caesar De Bello Civili Part 3,632,Prose
0.00019,0.00799,0.00004,0.00349,0,0.00025,0.00087,0.00042,0.00002,0,0.00004,0.0001,0.00015,0.00154,0.00114,0.00538,0.00019,0.00085,0.00006,0.61889,41.00867,0.0006,0.0006,0.01191,0,152.48418,"48,185","8,176",Caesar De Bello Gallico Part 1,316,Prose
0.00064,0.00619,0.00004,0.0023,0,0.00048,0.00052,0.00036,0.00008,0,0,0,0.00008,0.00155,0.0006,0.00584,0.00004,0.00075,0.00008,0.61594,43.67308,0.0004,0.00091,0.0131,0,181.23022,"25,191","4,161",Caesar De Bello Gallico Part 2,139,Prose
0.00041,0.00612,0.00005,0.00195,0,0.00045,0.00041,0.00054,0.00005,0,0,0.00005,0.00014,0.00118,0.00041,0.00467,0,0.00041,0.00005,0.66116,40.9058,0.00054,0.00104,0.0136,0,182.34711,"22,064","3,591",Caesar De Bello Gallico Part 3,121,Prose
0.00044,0.00735,0.00004,0.00295,0,0.00025,0.00044,0.00047,0.00007,0,0.00004,0.00018,0.00007,0.00116,0.00069,0.00517,0.00004,0.00065,0.00018,0.69753,44.39614,0.00076,0.00073,0.01299,0,168.6135,"27,484","4,581",Caesar De Bello Gallico Part 4,163,Prose
0.0004,0.00679,0.00011,0.00213,0,0.00026,0.00053,0.00033,0.00004,0,0,0.00009,0.00007,0.00138,0.00057,0.00571,0.00011,0.00055,0.00007,0.50342,41.60086,0.00037,0.00066,0.01255,0,153.18182,"45,495","7,377",Caesar De Bello Gallico Part 5,297,Prose
0.00024,0.00677,0.00009,0.00224,0,0.00042,0.00054,0.0006,0.00006,0,0,0.00003,0.00003,0.00149,0.00078,0.00528,0.00003,0.00045,0.00009,0.51261,40.53684,0.00024,0.0006,0.0139,0,140.25523,"33,521","5,469",Caesar De Bello Gallico Part 6,239,Prose
0.00041,0.0054,0.00006,0.00176,0.00001,0.0003,0.0007,0.00044,0.00006,0,0.00001,0.00014,0.0001,0.00134,0.00066,0.00533,0.00014,0.00036,0.00003,0.55738,43.74762,0.00061,0.00056,0.01055,0,145.80723,"72,612","11,477",Caesar De Bello Gallico Part 7,498,Prose
0.00064,0.00344,0.00012,0.00146,0,0.00005,0.00081,0.0005,0,0,0.00002,0.00007,0.00007,0.00098,0.00048,0.00296,0,0.00069,0.00002,0.60569,41.53612,0.00062,0.00143,0.01033,0,169.68421,"41,912","6,485",Caesar De Bello Gallico Part 8,247,Prose
